resume_id,Category,role_bucket,skill
36856210,INFORMATION-TECHNOLOGY,Data & Analytics,HTML
36856210,INFORMATION-TECHNOLOGY,Data & Analytics,Linux
21780877,INFORMATION-TECHNOLOGY,Quality Assurance,Project Management
33241454,INFORMATION-TECHNOLOGY,Other IT,Communication
33241454,INFORMATION-TECHNOLOGY,Other IT,Excel
33241454,INFORMATION-TECHNOLOGY,Other IT,Project Management
25990239,INFORMATION-TECHNOLOGY,Mobile Development,Excel
25990239,INFORMATION-TECHNOLOGY,Mobile Development,HTML
25990239,INFORMATION-TECHNOLOGY,Mobile Development,PHP
25990239,INFORMATION-TECHNOLOGY,Mobile Development,Problem Solving
25990239,INFORMATION-TECHNOLOGY,Mobile Development,Project Management
16899268,INFORMATION-TECHNOLOGY,Software Engineering,Communication
16899268,INFORMATION-TECHNOLOGY,Software Engineering,Project Management
91635250,INFORMATION-TECHNOLOGY,IT Support,Communication
19796840,INFORMATION-TECHNOLOGY,Software Engineering,Communication
19796840,INFORMATION-TECHNOLOGY,Software Engineering,Oracle
19796840,INFORMATION-TECHNOLOGY,Software Engineering,SQL
15651486,INFORMATION-TECHNOLOGY,Quality Assurance,Express
15651486,INFORMATION-TECHNOLOGY,Quality Assurance,Linux
15651486,INFORMATION-TECHNOLOGY,Quality Assurance,SQL
52246737,INFORMATION-TECHNOLOGY,Data & Analytics,Linux
52246737,INFORMATION-TECHNOLOGY,Data & Analytics,Problem Solving
13836471,INFORMATION-TECHNOLOGY,Mobile Development,SQL
14789139,INFORMATION-TECHNOLOGY,Quality Assurance,Communication
14789139,INFORMATION-TECHNOLOGY,Quality Assurance,Project Management
14789139,INFORMATION-TECHNOLOGY,Quality Assurance,SQL
36434348,INFORMATION-TECHNOLOGY,Software Engineering,C++
36434348,INFORMATION-TECHNOLOGY,Software Engineering,Communication
36434348,INFORMATION-TECHNOLOGY,Software Engineering,HTML
36434348,INFORMATION-TECHNOLOGY,Software Engineering,Oracle
36434348,INFORMATION-TECHNOLOGY,Software Engineering,Project Management
36434348,INFORMATION-TECHNOLOGY,Software Engineering,SQL
27536013,INFORMATION-TECHNOLOGY,Software Engineering,Oracle
27536013,INFORMATION-TECHNOLOGY,Software Engineering,Project Management
27536013,INFORMATION-TECHNOLOGY,Software Engineering,SQL
18301617,INFORMATION-TECHNOLOGY,Quality Assurance,Communication
18301617,INFORMATION-TECHNOLOGY,Quality Assurance,Linux
18301617,INFORMATION-TECHNOLOGY,Quality Assurance,Project Management
18301617,INFORMATION-TECHNOLOGY,Quality Assurance,SQL
24913648,INFORMATION-TECHNOLOGY,Security,Communication
26801767,INFORMATION-TECHNOLOGY,Software Engineering,Communication
26801767,INFORMATION-TECHNOLOGY,Software Engineering,Excel
27372171,INFORMATION-TECHNOLOGY,Data & Analytics,Communication
27372171,INFORMATION-TECHNOLOGY,Data & Analytics,Excel
27372171,INFORMATION-TECHNOLOGY,Data & Analytics,Spark
91697974,INFORMATION-TECHNOLOGY,IT Support,Communication
91697974,INFORMATION-TECHNOLOGY,IT Support,Excel
91697974,INFORMATION-TECHNOLOGY,IT Support,Problem Solving
91697974,INFORMATION-TECHNOLOGY,IT Support,Project Management
28672970,INFORMATION-TECHNOLOGY,Security,Communication
28672970,INFORMATION-TECHNOLOGY,Security,Project Management
66832845,INFORMATION-TECHNOLOGY,Mobile Development,Azure
66832845,INFORMATION-TECHNOLOGY,Mobile Development,Communication
66832845,INFORMATION-TECHNOLOGY,Mobile Development,Linux
25207620,INFORMATION-TECHNOLOGY,Security,Communication
25207620,INFORMATION-TECHNOLOGY,Security,Express
41344156,INFORMATION-TECHNOLOGY,Software Engineering,Communication
41344156,INFORMATION-TECHNOLOGY,Software Engineering,ETL
41344156,INFORMATION-TECHNOLOGY,Software Engineering,SQL
68460556,INFORMATION-TECHNOLOGY,Other IT,Communication
68460556,INFORMATION-TECHNOLOGY,Other IT,Excel
68460556,INFORMATION-TECHNOLOGY,Other IT,Problem Solving
68460556,INFORMATION-TECHNOLOGY,Other IT,Spring
10247517,INFORMATION-TECHNOLOGY,Quality Assurance,Communication
10247517,INFORMATION-TECHNOLOGY,Quality Assurance,Excel
10247517,INFORMATION-TECHNOLOGY,Quality Assurance,Problem Solving
10247517,INFORMATION-TECHNOLOGY,Quality Assurance,Project Management
10247517,INFORMATION-TECHNOLOGY,Quality Assurance,SQL
25959103,INFORMATION-TECHNOLOGY,Security,SQL
25959103,INFORMATION-TECHNOLOGY,Security,Swift
13385306,INFORMATION-TECHNOLOGY,Software Engineering,Agile
13385306,INFORMATION-TECHNOLOGY,Software Engineering,C#
13385306,INFORMATION-TECHNOLOGY,Software Engineering,Oracle
13385306,INFORMATION-TECHNOLOGY,Software Engineering,Project Management
13385306,INFORMATION-TECHNOLOGY,Software Engineering,SQL
13385306,INFORMATION-TECHNOLOGY,Software Engineering,Tableau
38753827,INFORMATION-TECHNOLOGY,Data & Analytics,Project Management
17681064,INFORMATION-TECHNOLOGY,DevOps & Cloud,Oracle
17681064,INFORMATION-TECHNOLOGY,DevOps & Cloud,Project Management
25905275,INFORMATION-TECHNOLOGY,Data & Analytics,Communication
25905275,INFORMATION-TECHNOLOGY,Data & Analytics,Excel
25905275,INFORMATION-TECHNOLOGY,Data & Analytics,Problem Solving
25905275,INFORMATION-TECHNOLOGY,Data & Analytics,Project Management
11580408,INFORMATION-TECHNOLOGY,Mobile Development,Communication
11580408,INFORMATION-TECHNOLOGY,Mobile Development,Problem Solving
11580408,INFORMATION-TECHNOLOGY,Mobile Development,R
11580408,INFORMATION-TECHNOLOGY,Mobile Development,SQL
19201175,INFORMATION-TECHNOLOGY,IT Support,Communication
19201175,INFORMATION-TECHNOLOGY,IT Support,Problem Solving
12635195,INFORMATION-TECHNOLOGY,Mobile Development,C#
12635195,INFORMATION-TECHNOLOGY,Mobile Development,Java
12635195,INFORMATION-TECHNOLOGY,Mobile Development,JavaScript
12635195,INFORMATION-TECHNOLOGY,Mobile Development,Project Management
12635195,INFORMATION-TECHNOLOGY,Mobile Development,Python
32959732,INFORMATION-TECHNOLOGY,DevOps & Cloud,Azure
32959732,INFORMATION-TECHNOLOGY,DevOps & Cloud,Communication
32959732,INFORMATION-TECHNOLOGY,DevOps & Cloud,Linux
32959732,INFORMATION-TECHNOLOGY,DevOps & Cloud,Project Management
32959732,INFORMATION-TECHNOLOGY,DevOps & Cloud,SQL
32959732,INFORMATION-TECHNOLOGY,DevOps & Cloud,Scrum
32959732,INFORMATION-TECHNOLOGY,DevOps & Cloud,Tableau
17688766,INFORMATION-TECHNOLOGY,Mobile Development,Communication
17688766,INFORMATION-TECHNOLOGY,Mobile Development,Problem Solving
17688766,INFORMATION-TECHNOLOGY,Mobile Development,SQL
20024870,INFORMATION-TECHNOLOGY,Other IT,C#
20024870,INFORMATION-TECHNOLOGY,Other IT,Excel
20024870,INFORMATION-TECHNOLOGY,Other IT,HTML
20024870,INFORMATION-TECHNOLOGY,Other IT,Java
20024870,INFORMATION-TECHNOLOGY,Other IT,PHP
20024870,INFORMATION-TECHNOLOGY,Other IT,SQL
20024870,INFORMATION-TECHNOLOGY,Other IT,Spring
22450718,INFORMATION-TECHNOLOGY,Data & Analytics,Communication
22450718,INFORMATION-TECHNOLOGY,Data & Analytics,Excel
22450718,INFORMATION-TECHNOLOGY,Data & Analytics,Linux
22450718,INFORMATION-TECHNOLOGY,Data & Analytics,Oracle
22450718,INFORMATION-TECHNOLOGY,Data & Analytics,Spring
46260230,INFORMATION-TECHNOLOGY,Data & Analytics,Communication
46260230,INFORMATION-TECHNOLOGY,Data & Analytics,Linux
46260230,INFORMATION-TECHNOLOGY,Data & Analytics,Problem Solving
46260230,INFORMATION-TECHNOLOGY,Data & Analytics,Project Management
46260230,INFORMATION-TECHNOLOGY,Data & Analytics,Spark
18752129,INFORMATION-TECHNOLOGY,Software Engineering,Express
37764298,INFORMATION-TECHNOLOGY,Software Engineering,Excel
37764298,INFORMATION-TECHNOLOGY,Software Engineering,Go
37764298,INFORMATION-TECHNOLOGY,Software Engineering,SQL
90867631,INFORMATION-TECHNOLOGY,Security,C++
90867631,INFORMATION-TECHNOLOGY,Security,Communication
90867631,INFORMATION-TECHNOLOGY,Security,HTML
90867631,INFORMATION-TECHNOLOGY,Security,Oracle
90867631,INFORMATION-TECHNOLOGY,Security,Project Management
90867631,INFORMATION-TECHNOLOGY,Security,SQL
17641670,INFORMATION-TECHNOLOGY,Data & Analytics,Communication
17641670,INFORMATION-TECHNOLOGY,Data & Analytics,Excel
17641670,INFORMATION-TECHNOLOGY,Data & Analytics,HTML
17641670,INFORMATION-TECHNOLOGY,Data & Analytics,Project Management
24038620,INFORMATION-TECHNOLOGY,Mobile Development,Project Management
29051656,INFORMATION-TECHNOLOGY,Software Engineering,AWS
29051656,INFORMATION-TECHNOLOGY,Software Engineering,Communication
29051656,INFORMATION-TECHNOLOGY,Software Engineering,Linux
29051656,INFORMATION-TECHNOLOGY,Software Engineering,MySQL
29051656,INFORMATION-TECHNOLOGY,Software Engineering,Oracle
29051656,INFORMATION-TECHNOLOGY,Software Engineering,Problem Solving
29051656,INFORMATION-TECHNOLOGY,Software Engineering,SQL
20237244,INFORMATION-TECHNOLOGY,Data & Analytics,Linux
20001721,INFORMATION-TECHNOLOGY,Data & Analytics,Excel
20001721,INFORMATION-TECHNOLOGY,Data & Analytics,Linux
20001721,INFORMATION-TECHNOLOGY,Data & Analytics,Problem Solving
20001721,INFORMATION-TECHNOLOGY,Data & Analytics,SQL
92069209,INFORMATION-TECHNOLOGY,IT Support,Communication
