role_bucket,skill,job_mentions,resume_mentions,gap_mentions,gap_pct
Data & Analytics,AWS,393,1.0,392.0,99.74554707379136
Data & Analytics,Airflow,79,0.0,79.0,100.0
Data & Analytics,Angular,3,0.0,3.0,100.0
Data & Analytics,Azure,290,1.0,289.0,99.6551724137931
Data & Analytics,Bootstrap,2,0.0,2.0,100.0
Data & Analytics,C#,67,1.0,66.0,98.50746268656717
Data & Analytics,C++,95,2.0,93.0,97.89473684210527
Data & Analytics,CI/CD,84,0.0,84.0,100.0
Data & Analytics,CSS,11,1.0,10.0,90.9090909090909
Data & Analytics,Cypress,1,0.0,1.0,100.0
Data & Analytics,Databricks,140,0.0,140.0,100.0
Data & Analytics,Deep Learning,121,0.0,121.0,100.0
Data & Analytics,Django,5,0.0,5.0,100.0
Data & Analytics,Docker,71,0.0,71.0,100.0
Data & Analytics,ETL,262,1.0,261.0,99.61832061068702
Data & Analytics,Elasticsearch,11,0.0,11.0,100.0
Data & Analytics,Excel,368,9.0,359.0,97.55434782608695
Data & Analytics,Express,17,0.0,17.0,100.0
Data & Analytics,FastAPI,3,0.0,3.0,100.0
Data & Analytics,Flask,6,0.0,6.0,100.0
Data & Analytics,GCP,97,0.0,97.0,100.0
Data & Analytics,GitHub Actions,5,0.0,5.0,100.0
Data & Analytics,Go,148,2.0,146.0,98.64864864864865
Data & Analytics,GraphQL,9,0.0,9.0,100.0
Data & Analytics,HTML,65,4.0,61.0,93.84615384615384
Data & Analytics,Hadoop,135,0.0,135.0,100.0
Data & Analytics,JUnit,2,0.0,2.0,100.0
Data & Analytics,Java,175,2.0,173.0,98.85714285714286
Data & Analytics,JavaScript,80,0.0,80.0,100.0
Data & Analytics,Jenkins,31,0.0,31.0,100.0
Data & Analytics,Kubernetes,74,0.0,74.0,100.0
Data & Analytics,Machine Learning,523,0.0,523.0,100.0
Data & Analytics,Microservices,35,0.0,35.0,100.0
Data & Analytics,MongoDB,26,0.0,26.0,100.0
Data & Analytics,MySQL,51,0.0,51.0,100.0
Data & Analytics,Next.js,1,0.0,1.0,100.0
Data & Analytics,Node.js,5,0.0,5.0,100.0
Data & Analytics,NumPy,42,0.0,42.0,100.0
Data & Analytics,Oracle,115,4.0,111.0,96.52173913043478
Data & Analytics,PHP,4,1.0,3.0,75.0
Data & Analytics,Playwright,1,0.0,1.0,100.0
Data & Analytics,PostgreSQL,27,0.0,27.0,100.0
Data & Analytics,Power BI,220,0.0,220.0,100.0
Data & Analytics,PyTorch,113,0.0,113.0,100.0
Data & Analytics,Python,939,2.0,937.0,99.78700745473908
Data & Analytics,R,398,2.0,396.0,99.49748743718592
Data & Analytics,REST API,9,0.0,9.0,100.0
Data & Analytics,Rails,2,0.0,2.0,100.0
Data & Analytics,React,10,0.0,10.0,100.0
Data & Analytics,Redis,6,0.0,6.0,100.0
Data & Analytics,Ruby,7,0.0,7.0,100.0
Data & Analytics,Rust,1,0.0,1.0,100.0
Data & Analytics,SQL,978,6.0,972.0,99.38650306748467
Data & Analytics,SQLite,2,0.0,2.0,100.0
Data & Analytics,Scala,167,0.0,167.0,100.0
Data & Analytics,Spark,272,2.0,270.0,99.26470588235294
Data & Analytics,Spring,11,1.0,10.0,90.9090909090909
Data & Analytics,Spring Boot,4,0.0,4.0,100.0
Data & Analytics,Swift,5,0.0,5.0,100.0
Data & Analytics,Tableau,327,1.0,326.0,99.69418960244649
Data & Analytics,TensorFlow,98,0.0,98.0,100.0
Data & Analytics,Terraform,33,0.0,33.0,100.0
Data & Analytics,TypeScript,6,0.0,6.0,100.0
Data & Analytics,pandas,56,0.0,56.0,100.0
Data & Analytics,pytest,3,0.0,3.0,100.0
Data & Analytics,scikit-learn,50,0.0,50.0,100.0
DevOps & Cloud,AWS,376,1.0,375.0,99.7340425531915
DevOps & Cloud,Airflow,9,0.0,9.0,100.0
DevOps & Cloud,Angular,17,0.0,17.0,100.0
DevOps & Cloud,Azure,362,3.0,359.0,99.17127071823204
DevOps & Cloud,C#,32,0.0,32.0,100.0
DevOps & Cloud,C++,10,1.0,9.0,90.0
DevOps & Cloud,CI/CD,246,0.0,246.0,100.0
DevOps & Cloud,CSS,11,2.0,9.0,81.81818181818183
